baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_001319186.1	1953.76841526889	0.872856192958499	0.229337870554463	3.80598368184121	0.000141241695346885	0.0396343065069212
NM_001319187.1	1952.18460355628	0.873572240959802	0.229666831822106	3.80364998301735	0.000142579601617291	0.0396343065069212
NM_001319188.1	1961.06162371013	0.874848898513445	0.230347075804708	3.79795964614352	0.000145892067523897	0.0396343065069212
NM_001323316.1	265.828418152888	1.29723182909875	0.340291544079372	3.81211890706333	0.000137780562251053	0.0396343065069212
NM_001323317.1	262.41313418625	1.28923610913339	0.339512025593837	3.79732089571319	0.000146268388393494	0.0396343065069212
NM_001323318.1	264.040438877788	1.28534745554069	0.337960649469422	3.80324590320978	0.000142812468807493	0.0396343065069212
NM_001377.2	507.031407880155	-1.08591165611088	0.26634507913274	-4.07708548491593	4.56037299293481e-05	0.0176565099702853
NM_001930.3	718.862840568728	1.19070861830592	0.294265984346923	4.04636852930356	5.20183178246184e-05	0.0195582719006621
NM_002013.3	642.747149587571	-1.22737573617264	0.25970047491038	-4.72612049167872	2.28849887064439e-06	0.00274369424978276
NM_002231.3	47.1443044599283	2.81681402534713	0.750933691481158	3.7510822290996	0.000176072938468042	0.0429066709606867
NM_002638.3	819.426883972376	0.974457571996984	0.261332225383839	3.72880753824264	0.000192388015030599	0.0444994467727781
NM_002693.2	1638.26826558662	1.33220624620259	0.357477932159472	3.72668107973807	0.000194017697939555	0.0444994467727781
NM_002863.4	2305.39101476152	-0.917309789647664	0.248813562280534	-3.68673548676342	0.000227149245279321	0.0486389740690825
NM_003487.3	196.210386478112	-1.51502574890147	0.286921463768524	-5.28028028646797	1.28986415565237e-07	0.000390288324659346
NM_004228.6	388.291156105093	1.3131699252844	0.33804974274115	3.88454644170492	0.000102521095332562	0.0329009870687961
NM_004377.3	111.733465724294	1.68483240659333	0.457781165840128	3.68043190134591	0.000232839237638908	0.0489903007882499
NM_004431.3	1096.05055163336	1.36251145353386	0.357669495580647	3.80941475403692	0.000139296122053145	0.0396343065069212
NM_004494.2	1973.85868431738	0.885742633252032	0.233573661655534	3.79213404017399	0.000149358256214976	0.0400443979595443
NM_004613.3	265.697820674419	1.29637976693828	0.340364983251092	3.80879300377948	0.000139646799364772	0.0396343065069212
NM_004698.2	904.806651922658	0.902277792889499	0.190695174660236	4.7315187418722	2.22846238198799e-06	0.00272484371790042
NM_005030.5	746.116326483303	1.796236169902	0.401091438289791	4.47837076144269	7.52148844141836e-06	0.00581216269088928
NM_005045.3	73.9788763373869	1.91733998470905	0.478024265405862	4.01096790155863	6.04703320068434e-05	0.0212287615269549
NM_005438.4	533.691433994406	1.14468413359022	0.304230724973665	3.76255269315519	0.000168187857520804	0.0424990261996396
NM_005455.4	1274.34401365364	-0.975642464400552	0.257778769592859	-3.78480534274217	0.000153828935232644	0.0402525694259241
NM_005914.3	3740.76911805505	-0.871991152800848	0.185203616611539	-4.70828361105838	2.49811367312278e-06	0.0027848270003082
NM_006398.3	111.575060802865	1.74223981959652	0.418491556230792	4.16314210802307	3.13897868475165e-05	0.0145589039114226
NM_006845.3	645.088723819006	1.25395061865794	0.32521374801753	3.85577370668337	0.000115364170486795	0.0364211821290007
NM_007086.3	284.691386003157	-0.935572067311394	0.244541095503181	-3.82582757874014	0.000130333492886105	0.0396343065069212
