Gene_ID	DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
TRL-AAG2-2	0	0	0	0
TRQ-CTG1-3	0	0	0	0
TRL-CAA1-2	6	0	0	0
RNU6-930P	0	0	0	0
TRIM27	9417	9858	8599	10179
HCG14	1	5	10	7
TRL-CAA1-1	2	4	1	0
ZNF90P2	0	0	0	0
TRR-CCG1-2	0	0	0	0
TRA-AGC2-2	0	0	0	0
RPL13P	0	0	0	0
LINC01623	0	0	0	0
TRA-AGC2-1	0	0	0	0
TRF-GAA4-1	0	0	0	0
TRA-TGC5-1	5	1	6	5
TRA-AGC6-1	0	0	0	0
TRF-GAA3-1	0	0	0	0
TRA-TGC7-1	72	19	17	25
LOC124901504	0	0	0	0
TRA-AGC1-1	2	2	2	8
TRF-GAA1-1	0	0	0	0
TRA-TGC1-1	0	0	1	0
NOP56P1	5	1	0	0
TRA-AGC23-1	0	0	0	0
TRF-GAA5-1	0	0	0	0
TRF-GAA6-1	0	0	0	0
TRA-TGC6-1	2	2	0	0
TRK-TTT7-1	24	4	29	12
TRR-CCG1-1	21	13	20	12
TRV-AAC6-1	2	2	2	0
RPSAP2	0	0	0	0
TRA-CGC4-1	1	0	2	4
TRF-GAA11-1	0	0	0	0
TRT-AGT3-1	20	5	9	12
TRA-AGC7-1	4	4	11	6
TRA-AGC5-1	3	3	6	3
TRK-TTT13-1	0	0	1	0
LOC100288016	2	3	1	2
LOC105374297	3	6	4	7
SDHAP2	1169	1202	1205	1561
MIR570	91	97	96	132
SMBD1P	474	372	352	414
MIR570HG	62	82	117	88
LOC124905401	0	0	0	0
MUC20	15	21	16	7
MUC4	1	4	3	1
LOC112268340	0	0	0	0
LOC124905399	0	0	0	0
LYPLA2P1	17	28	29	43
MYL12BP3	0	0	0	0
DAXX	6599	6193	6408	6978
ZBTB22	1840	1608	1453	1695
TAPBP	15880	12788	14197	15316
RGL2	4692	4618	4122	5160
MIR6834	0	0	0	0
PFDN6	2863	2574	2873	2827
MIR6873	0	0	0	0
WDR46	5253	5106	4858	5735
B3GALT4	72	78	74	61
