DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
LST1	5.92393044022824	0	6.22896421267283	2.84568325540648
LTB	111.567356624298	77.574863215648	110.045034423887	93.9075474284138
TNF	6.91125218026627	3.06216565324926	10.3816070211214	6.63992759594845
LTA	60.2266261423204	33.6838221857419	46.7172315950463	30.3539547243358
LOC100287329	0	4.08288753766568	0	0
NFKBIL1	2086.21083670038	2005.71850287827	1811.59042518568	2070.70884885078
ATP6V1G2	0	18.3729939194956	20.7632140422428	15.1769773621679
DDX39B-AS1	6.91125218026627	7.14505319091495	13.4960891274578	15.1769773621679
SNORD84	241.89382630932	282.739961983349	313.524532037866	340.533429563642
SNORD117	82.9350261631953	76.5541413312316	63.3278028288405	116.673013471666
DDX39B	0	0	0	0
ATP6V1G2-DDX39B	43.4421565616737	53.0775379896539	58.1369993182798	46.4794931716391
MCCD1	0	0	1.03816070211214	0
RPL15P4	0	0	0	0
PPIAP9	0	0	7.26712491478497	1.89712217027099
MICB	1780.14109728858	1946.51663358212	1770.0639971012	1876.253826398
MICB-DT	29.6196522011412	34.7045440701583	30.106660361252	13.2798551918969
HCG26	28.6323304611031	14.2901063818299	29.0684996591399	16.1255384473034
HCP5	620.038052743889	670.614278061589	565.797582651116	576.72513976238
HLA-X	3.94928696015216	2.04144376883284	4.15264280844856	5.69136651081296
LINC01149	0	0	2.07632140422428	0
MICA	2882.97948091107	3013.17100279728	2935.91846557313	3086.61777103089
MICA-AS1	150.072904485782	122.486626129971	130.80824846613	115.72445238653
LOC124901300	0	0	0	0
LOC105379664	0	0	0	0
RNU6-283P	0	0	0	0
DHFRP2	0	0	0	0
MIR6891	0	0	0	0
HLA-B	9748.8148611356	8682.26034884608	9381.8582649874	8775.13859858844
LINC02571	0	0	0	0
WASF5P	0	0	0	0
RPL3P2	65.1632348425106	68.3883662559002	100.701588104877	71.1420813851619
USP8P1	17.7717913206847	14.2901063818299	13.4960891274578	12.3312941067614
HLA-C	18928.9324000093	19034.4217005974	19269.3007919034	18546.2663365692
HCG27	37.5182261214455	22.4558814571613	41.5264280844856	29.4053936392003
PSORS1C3	125.389860984831	82.6784726377301	113.159516530223	151.769773621679
POU5F1	159.946121886162	116.362294823472	148.456980402036	134.69567408924
TCF19	2569.99848931902	2708.99588124118	2116.80967160665	2481.43579871445
RNU6-1133P	0	0	0	0
HCG22	0	0	0	0
MUC22	0	0	0	0
LINC00243	31.5942956812173	40.8288753766568	43.6027494887098	41.7366877459617
HCG20	8.88589566034235	6.12433130649853	6.22896421267283	1.89712217027099
RN7SL353P	0	0	0	0
IER3	16900.9735459712	22710.041206381	19722.9770187264	21934.5265326731
