transcript,MCF10A,MDAMB436
L1FLnI_2p13.1a,227.1278583,372.6597651
L1FLnI_10p12.31a,227.1278583,430.7810128
L1FLnI_15q14b,227.1278583,119.6613924
L1FLnI_22q11.23b,227.1278583,488.9022606
L1FLnI_5q33.1b,227.1278583,252.9983726
L1FLnI_12q12cb,223.4645058,270.0928572
L1FLnI_18q21.33b,219.8011532,160.6881556
L1FLnI_4q25na,219.8011532,300.8629296
L1FLnI_5q14.3pb,216.1378007,0
L1FLnI_3q13.33x,212.4744481,529.9290237
L1FLnI_11q23.1b,208.8110956,0
L1FLnI_19q13.2d,208.8110956,1569.27369
L1FLnI_2q34ba,205.147743,126.4991863
L1FLnI_4q13.3bb,205.147743,352.1463835
L1FLnI_7q21.3a,205.147743,263.2550634
L1FLnI_5q13.2j,197.8210379,249.5794757
L1FLnI_3q23w,197.8210379,208.5527126
L1FLnI_13q12.11g,194.1576853,331.6330019
L1FLnI_8q11.23o,190.4943328,6.837793854
L1FLnI_2q33.3d,190.4943328,92.31021703
L1FLnI_Xq11.2y,190.4943328,92.31021703
L1FLnI_7q21.13u,186.8309802,75.2157324
L1FLnI_2p23.3a,186.8309802,796.602984
L1FLnI_15q26.1a,186.8309802,23.93227849
L1FLnI_12p13.31p,186.8309802,6.837793854
L1FLnI_6q25.3i,186.8309802,27.35117542
L1FLnI_8q24.12k,186.8309802,252.9983726
L1FLnI_7q31.1ga,183.1676277,92.31021703
L1FLnI_7q22.1e,183.1676277,64.95904161
L1FLnI_11q22.3aa,179.5042751,123.0802894
L1FLnI_19q13.31b,179.5042751,304.2818265
L1FLnI_2p16.1x,175.8409226,249.5794757
L1FLnI_8q21.11n,175.8409226,464.9699821
L1FLnI_8q22.1k,175.8409226,133.3369802
L1FLnI_Xq21.1db,168.5142175,112.8235986
L1FLnI_14q11.2j,168.5142175,88.8913201
L1FLnI_18q12.1s,168.5142175,328.214105
L1FLnI_9q13h,168.5142175,102.5669078
L1FLnI_18p11.22g,168.5142175,735.0628393
L1FLnI_4q26ua,168.5142175,427.3621159
L1FLnI_18q12.1q,164.8508649,20.51338156
L1FLnI_14q21.1a,164.8508649,44.44566005
L1FLnI_2q24.2d,164.8508649,181.2015371
L1FLnI_3p22.1ea,164.8508649,17.09448464
L1FLnI_4q21.21e,161.1875124,345.3085896
L1FLnI_9q21.32i,161.1875124,574.3746838
L1FLnI_1p22.1c,157.5241598,109.4047017
L1FLnI_11q23.3k,157.5241598,13.67558771
L1FLnI_10p14a,153.8608073,0
L1FLnI_15q24.3h,153.8608073,177.7826402
L1FLnI_1p32.3h,150.1974547,123.0802894
L1FLnI_15q23a,150.1974547,246.1605788
L1FLnI_5p12l,150.1974547,23.93227849
L1FLnI_7q11.23d,150.1974547,88.8913201
L1FLnI_3q22.3e,150.1974547,85.47242318
L1FLnI_2q34ra,150.1974547,71.79683547
L1FLnI_2p24.1b,146.5341021,64.95904161
L1FLnI_5q15o,146.5341021,273.5117542
L1FLnI_Xp22.11a,142.8707496,88.8913201
L1FLnI_3q13.33w,142.8707496,143.5936709
L1FLnI_2q35h,142.8707496,92.31021703
L1FLnI_6p22.3a,142.8707496,102.5669078
L1FLnI_Xq28wa,142.8707496,129.9180832
L1FLnI_6q16.3na,139.207397,23.93227849
L1FLI_1q25.3,139.207397,229.0660941
L1FLnI_3q13.13c,139.207397,194.8771248
L1FLnI_19p12m,139.207397,0
L1FLnI_5q14.1aa,139.207397,92.31021703
L1FLnI_18q22.2e,135.5440445,403.4298374
L1FLnI_2p22.2g,135.5440445,44.44566005
L1FLnI_Xq13.2z,135.5440445,270.0928572
L1FLnI_2p16.3h,135.5440445,314.5385173
L1FLnI_9q33.2c,135.5440445,136.7558771
L1FLnI_10p15.3c,131.8806919,10.25669078
L1FLI_7p14.3,131.8806919,170.9448464
L1FLnI_7q32.3a,131.8806919,44.44566005
L1FLnI_4q21.21l,131.8806919,304.2818265
L1FLnI_5q32aa,128.2173394,0
L1FLnI_13q14.11g,128.2173394,1217.127306
L1FLnI_3q26.32t,128.2173394,20.51338156
L1FLnI_1p11.2c,128.2173394,68.37793854
L1FLnI_1p13.1b,128.2173394,20.51338156
L1FLnI_20p13i,128.2173394,47.86455698
L1FLnI_9q21.12h,124.5539868,427.3621159
L1FLnI_1p12u,124.5539868,471.8077759
L1FLnI_Xq22.3z,124.5539868,181.2015371
L1FLnI_2q32.1ma,124.5539868,1083.790326
L1FLnI_10q11.21s,124.5539868,99.14801089
L1FLnI_10q21.1p,124.5539868,13.67558771
L1FLnI_2p21d,124.5539868,92.31021703
L1FLnI_Xq24l,124.5539868,0
L1FLnI_6q13n,124.5539868,136.7558771
L1FLnI_1p32.3g,124.5539868,78.63462932
L1FLnI_7q32.2c,120.8906343,82.05352625
