"locus","count_MCF10A","count_MDAMB436"
"L1FLnI_4q31.21p",9,7
"L1FLnI_5q33.1z",9,1
"L1FLnI_3q12.2b",9,8
"L1FLnI_9p21.1la",9,7
"L1FLnI_7p14.3q",9,28
"L1FLnI_10p15.3d",9,12
"L1FLnI_22p11.2g",9,3
"L1FLnI_4p16.2i",9,1
"L1FLnI_9p11.2a",9,192
"L1FLnI_16p13.13",9,11
"L1FLnI_5q15m",9,8
"L1FLnI_9p11.2f",9,8
"L1FLnI_9q13g",9,174
"L1FLnI_14q23.1aa",9,4
"L1FLI_1p31.1d",9,17
"L1FLnI_6q23.2m",9,28
"L1FLnI_1p12x",9,10
"L1FLnI_Yp11.2w",8,1
"L1FLnI_Xq13.2fa",8,25
"L1FLnI_13q12.12h",8,5
"L1FLnI_9q22.31d",8,91
"L1FLnI_5q32d",8,8
"L1FLnI_6q12f",8,15
"L1FLnI_6p12.2h",8,18
"L1FLnI_11p15.1l",8,48
"L1FLnI_20p12.1h",8,5
"L1FLnI_5q23.1aa",8,6
"L1FLnI_Xp11.22ka",8,25
"L1FLnI_3q22.3c",8,5
"L1FLnI_3q22.2a",8,9
