"","count_MCF10A","count_MDAMB436"
"L1FLnI_7q22.2a",8.86208890135439,7.33960159210965
"L1FLnI_12q24.22a",8.85769756378772,6.86685847295518
"L1FLnI_6q21f",8.85329281879072,8.20412932213764
"L1FLnI_7q33c",8.82657814048666,7.07032778441158
"L1FLnI_11q13.5h",8.82207720104371,8.95956748140289
"L1FLnI_1q42.2b",8.80393169340621,6.59866399073212
"L1FLnI_Xp11.3ia",8.79477263076312,7.79950305946781
"L1FLnI_1q32.2g",8.78092407894997,7.28177253775862
"L1FLnI_2q33.1t",8.77627819571573,9.50992206397835
"L1FLnI_12p11.23e",8.76225009899371,9.06427604353074
"L1FLnI_Xq25o",8.75282167708338,6.37108819411778
"L1FLnI_15q13.2e",8.69983427421077,8.40407937527897
"L1FLnI_6q14.1b",8.68503889511988,10.1653955789535
"L1FLnI_14q11.2c",8.67009020932078,4.74943463561325
"L1FLnI_6q14.2j",8.64482628585963,7.21467640905333
"L1FLnI_Xq22.1n",8.62945280821464,6.89284509960896
"L1FLnI_3q26.2g",8.61391374228575,7.06271687116557
"L1FLnI_5q13.2a",8.58232430242252,7.84013726868699
"L1FLnI_5q22.1j",8.56087373843077,6.74850437397038
"L1FLnI_4q28.1la",8.52808776342821,7.00828560929394
"L1FLnI_Xq21.1pd",8.52808776342821,8.74333123183898
"L1FLnI_20q13.13",8.48318090419426,7.96378914862731
"L1FLnI_6q15i",8.4659737888491,6.84927028875115
"L1FLnI_1p21.3b",8.4427069887932,6.82247928495321
"L1FLnI_13q14.2o",8.43093134601534,6.54504673145051
"L1FLnI_Xq27.3q",8.41308567797749,5.72984891411679
"L1FLnI_9q21.13k",8.40106473665142,6.95171978135256
"L1FLnI_3q13.33d",8.38894279032095,7.25530736969186
"L1FLnI_12q14.1la",8.35195358252249,7.16578041825191
"L1FLnI_5q31.1a",8.31399098862802,8.35818468564982
"L1FLnI_2q14.1ga",8.30756562185971,7.15150023871249
"L1FLnI_8q22.2h",8.30111150989867,7.41326872547903
"L1FLnI_11q21b",8.28811601348359,5.17375082958815
"L1FLnI_1q25.1h",8.27500239018297,6.47795919541132
"L1FLnI_Xq22.1y",8.26176847275051,5.80477198024467
"L1FLnI_9q22.32c",8.24841203374362,9.20919850323907
"L1FLnI_1p11.2g",8.24168715556245,1.42045667459727
"L1FLnI_Xq28sa",8.23493078327332,8.89245959969461
"L1FLnI_12q23.3g",8.22814262049627,6.77669136843748
"L1FLnI_6q22.1u",8.22132236664784,9.31709019656789
"L1FLnI_6q14.1ia",8.20758436190418,6.5340799143459
"L1FLnI_5q14.1c",8.18672890644078,5.96034415302694
"L1FLnI_3q22.2b",8.16556753504742,6.07071449284109
"L1FLnI_5q35.3b",8.16556753504742,5.30861021573087
"L1FLnI_12q14.1a",8.15128551953437,5.69087529545566
"L1FLnI_11q14.1s",8.12959384428598,7.10779145098229
"L1FLnI_11q12.3a",8.08520682078278,4.71097162499218
"L1FLnI_13q13.3t",8.07767437213456,8.27500239018297
"L1FLnI_Xq28pa",8.02381642353944,8.98797330705007
"L1FLnI_13q22.1a",8.01595563363952,7.70488506147605
"L1FLnI_1q32.1m",8.00805177732712,5.65081907839491
"L1FLnI_4q28.2a",7.98407702532257,7.12250868302681
"L1FLnI_1p13.1f",7.98407702532257,4.71097162499218
"L1FLnI_Xq13.3u",7.96786961239821,8.07767437213456
