baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
H3C8	3493.1833263636	2.53917724246808	0.165074541938728	15.3820038671412	2.16152969624755e-53	4.10819688836065e-51
TPX2	7070.17211213823	2.33468589728139	0.151974567843453	15.3623460188834	2.92784963131973e-53	5.52344254892229e-51
IRS1	2703.64554598998	2.34096922500409	0.152688247979314	15.331692229	4.69591652001398e-53	8.79379425968501e-51
LOC101927345	2217.33643200808	2.28641169027694	0.149173296970546	15.3272183206381	5.03073099937442e-53	9.35201876584435e-51
RNASE7	406.258763384549	4.06498295973947	0.265402679493917	15.3162845510481	5.95241761167666e-53	1.09852298358102e-50
ANK1	683.580985578049	3.3812506819065	0.22129001782331	15.2797252906648	1.04379793026202e-52	1.91247810704411e-50
ACER2	1708.78324624443	2.24952211514905	0.147606002805156	15.2400449331216	1.91738456721011e-52	3.48799643983622e-50
SNED1	4598.822667172	-1.8710608772923	0.12346673986257	-15.1543717714987	7.08900213438578e-52	1.28044472594707e-49
BRCA2	2761.55401166223	2.15376381814936	0.142305691384526	15.1347693630162	9.55149752004866e-52	1.71308125944084e-49
FSTL1	2826.82060264486	2.13766487503821	0.141404014615657	15.1174270465268	1.24305386514627e-51	2.21385285577239e-49
RIPOR2	8828.41494961905	-1.75842531444003	0.116364710530951	-15.1113280514054	1.3636347244007e-51	2.41173952507201e-49
ECM2	1517.89300053453	-2.33681208768025	0.154906138401881	-15.0853420773923	2.02223837658945e-51	3.55188737758483e-49
CDT1	2689.19161860916	2.57444136911643	0.171218475365954	15.0360021815049	4.26543772847317e-51	7.44055945676402e-49
STAC2	1185.39030085049	-3.54919352149115	0.23764575164789	-14.9348073629772	1.95638640802613e-50	3.38947272378296e-48
IL7R	384.879856880399	4.44224593388463	0.297643777522899	14.924706207046	2.27635969808836e-50	3.91718437776449e-48
SPARC	912.239134576185	2.79588280029998	0.187521823833969	14.9096395456107	2.85288475618323e-50	4.87632677654191e-48
NEK2	1586.41428011647	2.70067596678021	0.181411367694605	14.8870272083866	4.00170777837045e-50	6.79436624663591e-48
ESCO2	1131.36017025779	3.20073516058136	0.215354691893894	14.8626209739529	5.76258366317214e-50	9.71930335984556e-48
MUC19	558.028555737682	3.53225164873364	0.238419722335576	14.815266179037	1.16725970409331e-49	1.95577435156898e-47
PTTG1	5331.28054032703	2.19509647924217	0.148190592055859	14.8126574621873	1.21346369641815e-49	2.01990153074362e-47
ELFN2	819.045921572962	2.7817097629703	0.18801213907133	14.7953731961687	1.56911613276079e-49	2.59495127721765e-47
PGBD5	4898.59023639718	2.0881669237037	0.141380571272445	14.7698294391508	2.29292469225882e-49	3.76749716531921e-47
KPNA2	19064.990128245	1.70708332873466	0.115600953152345	14.7670350648838	2.38997810310999e-49	3.90179245705162e-47
IGFBP6	1935.81834243475	2.25161886349232	0.153039850229494	14.7126311226511	5.34866481624848e-49	8.67642009810294e-47
CHST2	1324.85675683821	2.39730864879712	0.162983792416262	14.7088775715463	5.65374061840442e-49	9.11325734617239e-47
TROAP	1283.70650380019	3.06670078776207	0.209148723286088	14.6627755578848	1.11615442590284e-48	1.7878126364084e-46
LINC01235	1768.26908878437	-2.93544206960175	0.200641134803425	-14.630310342282	1.79964384879788e-48	2.86458309632403e-46
MAD2L1	3558.13234513513	1.99872579098981	0.136645985789055	14.6270362751476	1.88835448919885e-48	2.98711876589543e-46
NECTIN1	23786.7598411248	1.63682207229372	0.111981317517261	14.6169210059653	2.19086516751073e-48	3.4442564250718e-46
APMAP	42121.5305789933	-1.69946031936434	0.116492311199815	-14.5886050492149	3.31915102203424e-48	5.18602075025571e-46
