Gene_ID	DMSO_rep1	DMSO_rep2	GSK_rep1	GSK_rep2
GOLGA8M	16	12	1	9
LOC100419574	0	2	0	0
HERC2P9	857	813	1018	1096
LOC124903450	746	690	875	837
HERC2P11	17	43	6	15
LOC105369220	0	0	0	0
LOC100132202	0	0	0	0
MPHOSPH10P8	0	0	0	0
GOLGA8G	0	0	6	6
ABCB10P4	0	0	0	0
MIR4509-3	0	0	0	0
LOC101059997	0	0	0	0
MIR4509-2	0	0	0	0
ABCB10P3	8	0	8	6
RN7SL238P	0	0	0	0
GOLGA8F	0	0	0	0
MPHOSPH10P7	0	0	0	0
GOLGA6L22	0	0	0	0
LOC101060587	0	0	0	0
HERC2P1	13	4	6	7
LOC124905371	0	0	0	0
RPL41P2	2	15	8	13
HERC2	26219	24963	19617	22190
RPL5P32	0	0	0	0
OCA2	0	0	4	0
LOC100421667	0	0	0	0
MIR4509-1	0	0	0	0
ABCB10P1	0	0	2	2
RN7SL106P	0	0	0	0
GOLGA8DP	0	0	0	0
MPHOSPH10P5	0	0	0	0
GOLGA6L1	0	0	0	0
LOC101060118	0	0	0	0
ELMO2P1	0	0	0	0
TUBGCP5	3389	3727	4942	5493
PRB1	0	0	0	0
PRB4	0	0	0	0
PRB3	2	1	6	1
LOC100420583	0	2	0	0
LOC107987435	152	142	93	125
TAS2R42	0	0	0	0
TAS2R67P	0	0	0	0
SMIM10L1	2643	2936	1975	2504
TAS2R18P	68	40	53	63
TAS2R30	74	58	51	71
TAS2R45	0	0	0	0
TAS2R68P	0	0	0	0
TAS2R46	28	12	30	39
TAS2R63P	21	15	25	28
TAS2R31	51	65	65	43
TAS2R19	59	61	49	37
TAS2R20	127	121	79	71
TAS2R50	24	25	20	31
TAS2R15P	42	53	30	46
TAS2R14	48	42	38	30
PRH1-TAS2R14	0	0	0	0
PRH2	0	2	3	6
TAS2R13	72	43	29	23
TAS2R12P	25	32	31	35
PRH1	29	11	28	26
PRR4	4	9	0	5
PRH1-PRR4	5	4	4	4
LOC100420580	59	39	56	33
TAS2R10	59	37	37	49
TAS2R9	10	14	0	8
TAS2R8	6	2	2	1
TAS2R7	2	2	0	0
IFITM10	262	291	502	727
KRTAP5-6	0	0	0	0
LINC02708	0	0	0	0
LOC124905370	0	0	0	0
FAM99B	0	0	0	0
FAM99A	0	0	0	0
KRTAP5-5	0	0	0	0
KRTAP5-4	0	0	0	0
KRTAP5-3	0	0	0	0
KRTAP5-2	0	0	4	0
KRTAP5-1	0	2	0	2
KRTAP5-AS1	6	6	2	3
DUSP8	428	377	101	155
