Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_000835.4	10.17927457	4.290197933	1.34201512	3.196832784	0.001389454	0.010320642
NM_000837.1	14180.38343	-0.767834477	0.105997403	-7.243898968	4.36E-13	1.94E-11
NM_000848.3	15.39863024	-2.339498134	0.838313159	-2.790720997	0.005259078	0.031563015
NM_000852.3	37569.80924	0.33834429	0.118632739	2.852031338	0.004344082	0.026945464
NM_000855.2	24.94233638	3.186293812	0.737582947	4.319912528	1.56E-05	0.000201771
NM_000858.5	876.4586028	0.66610073	0.143859498	4.63021726	3.65E-06	5.50E-05
NM_000859.2	1786.622819	0.428769175	0.126865678	3.379709807	0.000725624	0.00594155
NM_000877.3	404.9648853	-1.959349868	0.189267571	-10.35227459	4.09E-25	5.91E-23
NM_000882.3	43.31811731	1.326585801	0.48300106	2.746548426	0.006022599	0.035204834
NM_000883.3	424.13407	1.101058596	0.182922481	6.019263411	1.75E-09	4.69E-08
NM_000885.5	25.60906967	1.973319674	0.650291097	3.034517439	0.002409208	0.016449354
NM_000888.4	661.185694	2.181746681	0.163903849	13.31113753	1.99E-40	7.39E-38
NM_000899.4	655.200674	0.542345695	0.172965477	3.135571926	0.001715194	0.0123636
NM_000902.3	1176.912845	-1.017268354	0.131790632	-7.718821426	1.17E-14	6.14E-13
NM_000908.3	217.4115269	-1.044095558	0.230330624	-4.533029688	5.81E-06	8.33E-05
NM_000917.3	887.7938502	1.018364777	0.144904914	7.027813952	2.10E-12	8.53E-11
NM_000930.4	1109.797318	2.657731843	0.16916451	15.71093043	1.27E-55	1.15E-52
NM_000932.2	1175.363548	0.419202457	0.132436544	3.165308037	0.001549188	0.011331193
NM_000934.3	154.3407987	-2.0601174	0.290718209	-7.086303284	1.38E-12	5.76E-11
NM_000935.2	2163.505429	1.037369139	0.145789641	7.115520223	1.11E-12	4.69E-11
NM_000937.4	13892.0637	0.653952297	0.105969228	6.171152797	6.78E-10	1.99E-08
NM_000946.2	455.015058	1.304007957	0.181397849	7.188662731	6.54E-13	2.84E-11
NM_000947.4	138.7832553	1.262231821	0.291471206	4.330554087	1.49E-05	0.000192962
NM_000952.4	696.6657488	1.950021391	0.165358117	11.79271645	4.26E-32	9.50E-30
NM_000958.2	147.337415	1.893287506	0.290523764	6.516807705	7.18E-11	2.37E-09
NM_000959.3	162.2037374	-1.052280774	0.269166039	-3.909411379	9.25E-05	0.000979495
NM_000963.3	222.8717783	1.716409371	0.236329758	7.262772952	3.79E-13	1.69E-11
NM_000980.3	65195.84727	-0.43251016	0.110775351	-3.904389891	9.45E-05	0.000998609
NM_001001290.1	129.383778	1.154732623	0.286043307	4.036915373	5.42E-05	0.000612314
NM_001001330.2	7750.422669	0.546209884	0.112218237	4.867389643	1.13E-06	1.91E-05
NM_001001342.2	372.6576187	0.660084648	0.185548513	3.557477429	0.000374433	0.00337976
